Gene_ID blastula_rep1	blastula_rep2	gastrula_rep1	gastrula_rep2	elongation_rep1	elongation_rep2	early_larva_rep1	early early_larva_rep2	mitraria_larva_rep1	mitraria_larva_rep2	competent_larva_rep1	competent_larva_rep2	juvenile_rep1
OFUSG00001.1	0	0.00617719	0.529108	0.229713	3.02314	2.27379	19.1684	11.9925	14.816	11.2945	12.5635	2.77933	8.26167
OFUSG00001.2	0	0	0	0	2.44841e-08	6.97329e-10	13.5437	18.1933	17.4196	15.3828	24.4047	28.4003	1.19823
OFUSG00001.3	0.0446479	0	0.109044	0.705844	2.15467	2.95207	0	1.10236	2.22133	6.93144	10.7897	10.4187	2.49799
OFUSG00001.4	0	0	0	0.199579	0.0166517	1.28646	0.128937	1.21423e-09	0	0.530022	1.99116	2.17029	10.7907
OFUSG00001.5	0	0	0	0	2.41601	2.09357	2.10681	2.09845	2.17634	2.16244	5.0691	3.09915	0.00537372
OFUSG00002.1	0.479253	0.884039	1.06739	1.52484	1.62556	3.08313	1.60175	4.28443	0.918108	1.43552	4.06439	4.50975	3.43869
OFUSG00003.1	1.92283	1.8211	2.12704	1.60636	2.26792	2.24138	1.64032	1.51084	2.28559	1.90087	2.49285	2.3366	2.06254
OFUSG00003.2	1.96388	3.09721	2.10267	2.8753	2.06073	2.39815	1.60516	2.21655	2.36377	2.99535	2.64199	2.84839	1.53254
OFUSG00004.1	0.718552	0.904013	0.215001	0.877474	1.02016	0.31612	0.247141	0	0	0.383497	0.825458	0.226973	4.64469
OFUSG00005.1	3.15585	0.129233	0.493659	0.375417	0.116153	0.120147	0	0	0	0	0.133416	0	0
OFUSG00006.1	679.034	561.816	220.186	347.192	209.172	272.699	121.275	164.769	101.683	111.207	36.5387	39.1761	44.8818
OFUSG00007.1	44.678	50.3233	87.9113	78.9851	102.053	84.7001	94.5053	80.2959	139	115.645	107.26	104.467	114.552
OFUSG00008.1	25.2352	26.8737	3.21362	8.89963	5.48441	9.47949	3.45427	7.37322	3.80658	6.51161	6.67887	8.51827	7.58882
OFUSG00009.1	85.1307	25.1106	27.4091	11.2955	29.7412	13.108	18.8191	7.05644	15.3964	9.84718	2.85319	3.741	2.14313
OFUSG00010.1	0.550693	0.074537	0.3803	1.24028	0.894615	1.12379	0.287735	0.852223	0.218397	0.515656	0.256978	0.316143	0.195546
OFUSG00011.1	0.437929	0.640088	0.524318	0.77524	1.09279	0.448944	0.872726	0.0692953	0.157982	0.438686	0.398483	0.415292	0.351002
OFUSG00012.1	34.5556	28.8072	14.3384	18.8642	9.73871	8.79314	5.6679	6.20343	5.2626	4.44454	5.08437	5.06615	5.21185
OFUSG00013.1	18	19.3945	22.8156	20.8944	14.1314	15.3796	9.54338	8.37879	7.81855	5.09057	8.50754	7.70453	7.22855
OFUSG00014.1	19.5793	9.75461	16.4758	10.1615	18.06	15.3937	26.1235	17.4752	26.2531	17.3874	27.8852	19.8787	24.4237
OFUSG00015.1	0.170922	0.116888	6.65433	5.07877	3.23133	5.54361	4.51439	4.30434	8.78068	7.55281	13.2596	11.3051	2.6209
OFUSG00015.2	0.0240933	0	0.427178	0.214687	0.299783	0.527833	0	0.200339	1.96983	3.39914	10.0582	3.47706	7.72849
OFUSG00016.1	44.0446	9.86145	30.0423	17.2657	37.6841	31.9068	40.0266	31.6606	28.4115	25.0681	19.0217	16.5937	20.197
OFUSG00017.1	5.03153	0.219518	3.23137	0.356716	1.2699	0	0.48186	0.254881	0.144218	0.150587	0.178269	0.161993	0.187183
OFUSG00018.1	1.5278	3.65677	9.15344	6.38881	12.6006	7.79445	14.5236	16.3357	9.58845	8.10044	2.77761	1.65724	0.635227
OFUSG00019.1	62.0527	52.3357	11.7017	15.3525	6.78276	9.80727	5.9026	4.752	3.93971	3.51947	5.30534	5.10029	4.26048
OFUSG00020.1	2.21113	1.70919	10.3845	15.6794	12.7726	13.7667	6.50381	11.847	9.11301	8.77359	8.26232	8.1151	9.69535
OFUSG00021.1	12.4008	13.8832	10.1279	14.7357	9.06347	10.4739	7.07677	9.09741	7.67462	9.57579	5.3999	5.83962	4.82594
OFUSG00022.1	9.08475	8.38191	7.17942	6.94666	8.50507	7.8359	8.39403	4.83588	5.47777	5.04292	3.29387	4.60125	4.44766
OFUSG00023.1	0.309026	2.13601	1.88778	1.76541	2.16039	2.80369	2.72236	1.94196	1.43418	7.24636	6.97453	2.00266	22.5916
OFUSG00024.1	9.39762	10.6917	13.0369	9.52957	16.9086	10.4999	14.7772	8.49135	13.9091	8.51779	12.6394	11.7971	21.1543
OFUSG00025.1	307.119	306.989	294.216	228.694	188.155	163.285	136.063	112.588	83.7448	80.8071	65.8355	74.37	69.6114
OFUSG00026.1	159.989	160.895	167.782	213.519	223.694	209.6	242.861	309.796	368.48	304.83	44.7539	136.432	37.6363
OFUSG00027.1	58.2474	66.1316	99.1066	87.8993	121.175	97.5199	105.274	95.9376	98.6244	92.4493	22.9512	38.2615	14.7824
OFUSG00027.2	16.4433	18.618	21.8669	18.3935	23.9947	26.7009	23.9644	22.5407	23.7093	21.3843	3.29349	8.62097	3.60856
OFUSG00028.1	0.449956	0.840756	0.78915	1.02504	1.28103	0.723209	0.692306	0.61065	0.413972	0.577189	1.10159	0.582676	1.99069
OFUSG00029.1	2.03073	3.70404	1.40011	10.4232	12.9394	22.2879	14.2092	53.3808	35.9709	45.2422	21.7156	23.7881	31.3123
OFUSG00030.1	13.0159	5.35842	19.0121	5.14282	39.3719	15.5555	79.3844	66.6934	111.664	79.3377	51.4964	78.504	54.6765
OFUSG00031.1	7.63952	17.1217	10.1561	10.1355	8.18749	7.73825	10.2747	9.57642	9.87868	10.0776	10.6256	9.38385	9.69178
OFUSG00032.1	0	0	0	0	0	0	0	0	0	0	1.88813	0.705084	3.03252
OFUSG00033.1	2.43788	1.48213	22.1904	22.0856	25.619	27.1838	16.7687	15.5927	9.43885	12.4293	6.31559	9.82399	7.57341
OFUSG00033.2	0	0.472961	0.654079	0	4.37489	2.72762	5.02111	6.98705	14.9898	10.7691	13.673	10.6313	8.34199
OFUSG00034.1	3598.06	3635.56	4780.82	3794	3765.29	3977.69	4228.92	3615.58	3636.82	3580.08	5397.17	5012.94	5500.87
OFUSG00035.1	77.1181	88.641	126.227	104.641	97.5421	92.9276	65.1481	54.5999	46.943	38.5833	29.7824	37.1649	28.2323
OFUSG00036.1	24.7788	27.598	12.3987	19.76	11.5243	12.1206	10.693	17.4846	21.4107	22.7867	13.8024	19.0832	6.28355
OFUSG00036.2	0.492537	1.25378	1.75572	4.69275	1.36496	3.42754	0.610461	4.68813	4.08961	3.51386	1.96745	3.77257	2.33932
OFUSG00037.1	0.237157	2.13672	0.815627	1.36665	14.0042	12.4938	35.1628	39.8493	18.4883	22.7475	9.95282	9.80801	17.8751
OFUSG00038.1	23.2182	13.529	19.409	14.1484	13.2796	15.3516	17.0519	9.17838	9.40356	7.2005	7.68798	7.0865	9.30514
OFUSG00039.1	13.5643	0.39719	18.3228	3.73084	17.799	8.19622	17.8936	3.56368	28.5714	1.63493	13.3176	1.33404	3.66523
